ID;Category;Question
1;Travel;Who has ever gone on the furthest travel ?
2;Food;Who is the best cook ?
3;Travel;Who has once travelled the longest distance on foot ?
4;Other;Who has done the most years of school?
5;Hobbies;Who has the rarest/weirdest hobby ?
6;Work;Who had the biggest switch in jobs ? (most diverse set of 2 jobs done in their professional career)
7;Anecdotes;Who has the most impressive anecdote of meeting an animal in nature ?
8;Work;Who has the longest commute ?
9;Sports;Who is the best dancer ?
10;Other;Who has most pets ?
11;Personal;Who has most siblings ?
12;Personal;Who is youngest ?
13;Other;Who has spent most days volunteering in their life ?
14;Hobbies;Who has most skill in making music ?
15;Hobbies;Who has watched most movies in their life ?
16;Anecdotes;Who has been on television most often ?
17;Personal;Who has their birthday earliest in the year ?
18;Other;Who knows most digits of pi ?
19;Other;Who hugged someone most recently ?
20;Work;Who has had the longest workday ever ?
21;Sports;Who can run the fastest 100m sprint ?
22;Other;Who has moved house most often ?
23;Anecdotes;Who has slept in the most unusual place ?
24;Hobbies;Who has read most books ?
25;Other;Who can draw an animal best ?
26;Other;Who woke up earliest today ?
27;Food;Who drinks most coffee per working day ?
28;Other;Who most recently went to relax at/in a spa/sauna/professionalMassage ?
29;Hobbies;Who most recently played a shooter-game ?
30;Travel;Who has ever stood on the highest elevation ?
31;Anecdotes;Who has ever been in the longest sleep/unconsciousness/coma ?
32;Hbbies;Who grows most kinds of food theirselves ?
33;Sports;Who can do most push-ups ?
34;Hobbies;Who is the best chess-player ?
35;Hobbies;Who has seen most live-performances in the last 5 years ?
36;Other;Who has most followers on 1 social-media platform of your choice ?
37;Travel;Who has been on most city-trips ?
38;Hobbies;Who writes most as a hobby ?
39;Sports;Who can hold their breath the longest ?
40;Other;Who had the most expensive phone bill last month ?
